attendance,study_hours,previous_score,assignment_score,internal_score,practical_score,participation,gpa,final_score
70.9,6.4,83.7,87.0,62.4,59.6,45.3,9.14,65.1
60.6,10.0,73.0,69.2,67.6,65.0,36.2,8.1,58.8
78.9,11.4,77.3,73.0,64.2,80.7,61.7,7.75,74.1
71.6,11.3,66.1,68.9,58.1,63.5,71.5,7.78,61.8
80.8,15.5,70.9,60.6,82.3,74.8,47.2,8.25,73.8
78.3,9.6,71.6,65.2,75.7,57.3,37.8,7.65,59.8
97.2,12.4,73.2,66.1,69.3,60.2,59.8,8.3,64.7
75.1,7.0,81.6,58.7,62.4,66.7,40.8,7.94,67.8
65.7,12.8,78.3,69.4,63.3,65.5,78.6,8.59,69.6
80.2,11.0,70.7,68.8,74.8,46.8,68.9,8.22,72.2
80.6,8.0,57.9,66.9,50.5,48.5,63.0,6.83,56.1
94.3,10.1,71.0,77.5,75.1,62.1,57.1,8.49,67.8
88.0,10.3,69.6,71.5,76.1,56.1,54.4,8.16,75.7
82.3,9.9,72.9,74.5,68.3,76.0,36.0,8.5,61.0
95.6,18.1,100.0,88.0,100.0,90.6,85.7,9.47,98.4
63.7,10.6,62.1,60.6,55.9,67.2,54.2,7.2,65.7
70.3,10.0,76.3,59.3,65.4,63.1,66.4,7.93,69.3
66.9,2.6,86.0,74.4,56.4,56.0,32.1,8.43,58.3
73.3,7.4,71.5,71.7,72.8,46.4,44.5,8.1,59.4
61.5,9.9,100.0,69.8,69.5,69.4,47.8,9.3,70.1
85.6,8.3,64.3,65.9,67.6,56.1,65.0,7.84,58.1
75.3,16.5,74.9,61.3,72.6,54.9,44.5,8.08,63.7
60.4,10.3,58.0,47.8,45.9,45.2,55.3,7.18,55.5
65.8,16.2,64.7,47.4,59.5,58.4,58.4,8.83,64.7
81.8,11.2,73.7,81.8,82.8,67.2,43.3,7.95,66.8
88.1,11.1,82.7,87.0,78.5,72.8,32.6,8.53,78.9
100.0,10.6,74.8,81.5,66.8,60.6,62.4,10.0,76.3
100.0,11.0,88.9,100.0,86.0,77.9,83.6,9.39,92.9
83.0,17.9,68.6,64.9,72.2,67.1,91.3,7.46,75.5
66.1,2.0,65.0,89.2,85.0,20.0,38.0,8.1,65.1
52.4,3.0,100.0,71.1,70.7,54.2,54.5,8.72,67.6
81.2,8.8,75.9,72.7,66.0,71.8,51.9,8.8,73.4
68.2,11.1,59.2,52.5,71.7,36.7,63.0,7.39,52.0
73.0,13.8,59.6,62.1,46.1,59.1,51.8,7.36,59.3
70.7,12.9,55.9,63.8,60.3,70.6,48.3,8.09,61.1
76.3,9.5,84.0,71.8,90.4,56.8,42.6,8.95,70.4
90.8,15.1,64.5,85.0,70.5,65.3,41.2,8.43,74.3
79.9,15.1,71.9,69.9,56.4,53.4,79.9,8.39,71.8
76.1,11.7,69.0,67.3,63.2,76.6,47.0,7.82,68.1
65.6,14.9,81.0,58.4,85.1,66.5,45.8,8.71,69.0
57.9,12.1,57.3,56.0,59.1,52.3,32.5,7.82,51.6
72.2,8.8,53.9,53.5,48.0,62.7,45.6,7.35,60.2
77.4,13.8,73.4,61.3,64.8,71.6,82.6,9.04,71.3
99.2,11.4,79.0,70.4,73.4,60.4,92.5,9.13,70.7
79.6,11.0,75.0,95.8,73.4,56.4,34.0,8.42,70.5
89.8,16.9,57.9,60.6,81.4,69.2,66.2,7.79,61.8
72.0,2.0,80.2,54.7,72.8,46.6,22.6,8.53,59.2
63.8,5.3,58.8,47.7,56.9,24.5,51.1,6.85,49.1
66.4,6.3,62.2,56.9,44.0,48.2,44.9,7.55,50.3
69.3,9.5,55.8,60.4,44.4,35.6,40.1,7.44,61.1
100.0,10.0,89.5,89.8,87.5,88.4,63.9,9.04,77.6
68.1,5.0,79.5,74.3,52.1,57.1,33.4,8.55,64.7
88.1,7.1,79.1,67.9,69.6,52.6,73.3,8.62,79.8
67.2,7.6,88.7,75.7,73.3,55.4,50.9,9.15,74.0
89.2,20.8,100.0,77.5,83.2,68.9,86.3,9.87,86.8
82.6,18.2,44.4,47.1,52.3,47.3,35.3,7.06,51.4
76.1,9.4,58.9,49.9,58.9,63.1,50.2,6.95,51.3
77.5,9.5,60.8,48.7,65.8,76.6,79.1,8.47,60.6
70.1,6.4,57.2,66.7,64.3,54.7,60.3,7.35,54.9
83.4,3.4,53.8,65.7,60.1,44.0,20.0,7.39,51.1
72.5,10.5,65.5,71.2,63.6,52.3,47.5,7.66,61.1
63.3,7.0,51.8,51.0,43.8,34.8,25.5,6.87,46.8
62.7,10.7,75.0,71.0,55.2,79.7,69.6,8.82,68.1
80.1,4.6,70.8,49.3,58.5,51.5,47.5,8.77,52.3
96.9,8.0,77.2,85.0,77.7,84.8,48.0,8.84,72.2
79.9,11.6,77.6,72.4,75.1,78.8,57.3,8.4,71.3
76.6,12.5,79.0,76.5,53.6,48.4,23.0,8.75,64.9
81.4,12.7,64.4,67.7,59.7,53.8,45.3,7.91,73.3
93.7,5.7,100.0,77.9,93.5,63.9,52.9,9.54,80.4
80.6,14.4,73.5,53.7,73.2,65.7,73.2,8.43,61.3
73.1,7.8,42.1,41.6,36.4,42.3,21.7,6.57,47.2
91.3,13.5,55.0,67.8,86.9,89.2,60.5,7.68,74.2
83.1,11.0,43.9,60.1,55.4,38.8,70.3,7.06,56.1
96.4,5.5,70.3,58.7,71.9,59.8,34.4,8.59,59.0
80.2,9.7,68.2,55.8,69.5,64.6,56.6,7.75,73.1
63.3,12.5,63.0,49.6,57.1,55.9,51.8,7.91,52.5
61.6,13.5,100.0,73.0,72.7,74.6,74.2,8.83,78.8
97.8,10.4,78.2,63.6,95.9,56.8,59.8,8.44,75.9
98.7,17.1,80.9,64.8,92.8,77.8,73.0,8.59,84.2
75.8,15.0,56.0,49.1,70.2,63.5,72.3,6.95,71.4
73.4,10.0,55.0,56.8,62.7,54.7,33.7,7.81,60.1
95.5,14.0,70.6,60.4,66.1,73.4,65.3,7.89,68.4
64.7,18.7,72.6,61.4,82.2,82.2,56.9,7.73,76.8
67.3,18.8,42.2,57.3,48.7,64.4,62.4,7.27,54.7
85.7,6.1,67.3,54.0,66.8,55.4,60.6,7.8,62.8
73.3,7.3,70.2,62.2,48.2,43.3,53.3,7.95,52.0
77.9,16.9,66.8,74.3,52.0,60.0,55.8,7.48,61.9
76.0,6.8,57.8,54.2,60.0,47.1,48.2,7.89,56.4
82.1,5.7,61.9,57.0,52.9,53.6,66.6,8.15,60.5
94.9,9.1,67.3,81.9,51.5,55.4,48.2,8.5,58.3
79.1,12.7,71.4,63.9,74.4,53.8,60.3,8.4,70.3
85.7,10.6,79.1,84.5,92.8,53.6,55.1,8.62,71.1
53.4,8.4,86.2,70.4,78.4,43.0,38.3,8.28,70.4
77.4,8.3,65.6,59.7,60.3,52.6,28.6,7.51,57.5
67.9,8.2,63.2,63.3,58.5,37.1,63.6,8.24,52.3
63.4,7.5,76.6,67.5,71.3,46.1,31.9,8.55,62.0
67.5,20.1,79.2,77.4,86.0,69.3,79.9,8.06,72.6
74.0,12.2,63.5,55.3,60.6,44.6,47.2,7.76,66.3
89.0,14.5,81.9,76.6,79.6,75.9,58.1,8.62,77.4
62.1,9.0,84.7,67.7,70.9,68.8,60.0,8.05,66.4
78.4,10.3,89.4,83.6,81.4,62.7,66.6,9.04,78.8
72.2,8.1,96.7,68.2,75.3,63.3,49.9,9.03,66.4
74.1,2.0,57.0,67.4,51.2,48.2,46.8,7.03,47.2
90.0,5.5,70.2,74.8,78.9,49.0,46.6,7.57,68.7
84.5,3.8,70.2,55.0,74.3,45.1,44.7,7.47,55.2
94.0,2.0,68.5,82.7,68.4,64.0,37.3,8.05,60.3
76.1,6.2,60.3,82.1,73.4,58.7,57.2,7.59,68.0
69.6,16.3,47.7,60.6,54.3,61.0,51.7,6.59,61.2
75.3,10.8,71.4,79.9,81.6,69.4,72.7,8.41,65.2
80.9,16.2,58.5,61.3,71.3,42.1,61.4,7.57,61.8
80.1,12.6,71.3,50.6,99.2,76.8,59.1,8.43,66.7
65.0,14.1,58.1,36.3,49.1,60.0,64.5,7.31,64.4
79.1,7.4,53.5,59.7,50.2,58.9,49.2,7.0,60.7
80.7,13.1,73.5,62.8,75.2,68.8,56.0,8.33,67.6
100.0,13.9,72.3,65.6,80.8,69.7,69.7,7.88,78.0
100.0,8.7,78.7,77.7,93.9,63.1,72.3,8.98,70.8
67.8,13.2,100.0,84.9,74.9,78.1,45.7,8.89,74.1
74.6,13.3,74.2,52.4,78.2,61.1,55.8,8.64,67.7
60.4,8.8,77.3,59.2,74.3,66.1,43.2,8.05,65.4
70.9,6.5,53.8,69.5,59.7,30.4,54.9,7.75,54.9
81.8,6.3,50.7,45.8,46.2,41.3,46.8,6.76,52.4
92.5,11.3,93.7,92.6,96.4,94.7,85.5,9.02,87.4
69.3,12.3,56.1,50.3,69.8,47.6,51.3,7.53,57.5
70.2,7.8,54.3,59.9,59.9,45.5,42.6,7.81,53.7
52.2,11.1,69.4,67.4,61.1,46.2,41.3,8.5,56.7
76.0,13.3,68.6,71.8,69.8,65.4,41.0,8.02,68.5
65.3,13.5,56.5,63.0,57.9,47.3,40.1,8.15,60.1
71.6,17.2,65.4,49.5,73.7,62.6,56.3,7.67,66.4
67.5,16.1,88.4,83.4,77.6,81.1,74.1,9.28,72.2
76.9,7.0,57.9,50.2,50.0,42.8,46.8,7.1,48.8
56.9,17.7,49.1,49.5,46.4,62.6,51.2,7.08,56.9
60.4,8.9,84.1,70.0,60.5,68.8,59.1,7.46,72.7
100.0,15.2,77.4,82.4,82.8,83.6,92.5,8.18,83.0
62.6,11.3,60.7,58.6,57.9,54.8,64.8,7.69,56.5
64.8,9.4,46.3,39.7,52.0,77.4,34.9,6.27,51.8
100.0,3.8,58.8,53.9,66.9,61.5,45.3,8.04,55.4
100.0,10.3,69.2,81.8,67.2,66.8,87.1,8.72,80.5
63.9,4.8,87.5,72.4,79.9,49.1,40.5,8.48,66.5
73.6,14.9,54.5,67.2,58.8,56.1,56.4,6.9,58.4
82.1,17.1,68.7,66.1,68.7,82.1,77.0,7.86,71.6
98.7,7.8,80.1,64.6,80.3,82.3,71.6,8.36,72.0
66.2,12.2,34.3,51.7,30.2,58.1,44.3,6.29,53.8
75.1,8.1,85.5,69.6,64.6,71.1,51.2,8.79,67.6
87.3,8.5,52.3,62.7,67.9,38.6,66.6,7.26,61.0
83.2,14.1,75.0,63.9,58.1,72.2,47.7,9.13,71.8
73.5,10.8,73.7,82.7,77.6,48.5,52.8,7.87,65.0
76.4,18.0,86.3,65.4,94.0,60.8,52.2,9.42,78.0
61.5,9.1,78.3,61.2,61.5,60.8,31.2,7.79,62.5
75.1,15.0,34.3,46.3,54.3,53.7,53.5,6.48,45.3
74.8,11.4,58.2,47.3,70.7,63.9,60.4,8.05,62.2
80.8,14.2,72.1,71.2,67.4,70.6,57.7,8.72,70.3
71.3,9.2,67.1,78.0,70.1,60.8,40.3,7.69,65.1
83.7,10.8,77.2,66.8,66.3,54.6,57.8,8.73,68.5
90.2,10.5,81.8,80.5,72.1,66.5,44.6,8.95,75.1
79.9,7.7,79.1,44.0,62.5,45.7,55.3,8.28,68.3
82.2,13.6,66.8,65.1,72.1,42.8,76.3,8.27,61.6
78.6,13.6,42.3,47.7,66.0,58.5,58.8,7.69,56.0
78.0,13.4,63.2,53.9,64.0,52.5,56.5,7.99,66.0
69.3,17.1,76.2,77.0,61.2,77.5,66.9,8.52,74.3
81.8,16.8,53.6,54.9,55.1,71.7,40.7,7.7,64.7
76.8,9.5,79.5,68.8,73.9,56.3,58.7,7.84,82.1
100.0,12.5,83.6,77.2,98.4,78.5,100.0,9.17,87.0
96.9,8.5,71.9,54.3,75.4,55.3,57.3,7.94,73.1
82.6,11.1,25.0,31.4,42.7,22.6,55.6,5.85,42.1
68.8,8.6,50.8,61.7,59.8,48.2,56.1,8.09,50.8
64.7,17.5,98.3,55.6,80.4,73.4,81.9,9.09,75.0
92.3,12.5,61.8,58.6,65.1,56.8,76.6,7.56,70.0
81.2,10.1,40.2,46.5,43.9,66.2,26.7,7.3,53.5
83.8,15.8,88.5,95.4,94.7,60.3,73.4,8.56,85.2
57.1,2.3,70.2,66.3,31.2,49.6,63.3,7.64,51.0
89.1,2.9,86.6,73.2,79.6,50.4,53.5,9.53,68.2
83.5,14.2,74.2,83.0,69.3,76.2,48.1,8.36,72.5
64.7,11.2,76.9,57.5,63.1,64.0,53.0,7.53,67.1
72.3,12.0,75.4,76.9,84.3,66.6,37.5,8.51,74.7
81.2,5.7,80.5,59.1,62.7,49.8,62.8,8.42,59.1
78.6,10.9,100.0,93.3,76.2,66.2,42.6,10.0,82.7
74.5,19.0,84.6,68.5,78.7,85.0,68.7,8.43,74.4
76.8,14.3,46.3,42.0,61.3,71.0,49.1,7.48,60.0
75.0,11.7,76.7,66.3,66.2,68.3,47.7,9.15,66.8
79.8,9.2,87.1,78.6,60.7,57.3,71.9,8.5,78.9
95.7,9.4,88.0,77.0,72.5,73.4,61.4,9.02,74.5
47.2,2.5,63.6,57.0,59.5,65.3,20.0,7.6,51.3
75.2,12.0,87.5,68.6,76.6,69.9,40.6,8.45,75.0
80.1,14.4,83.9,80.4,81.6,85.7,37.6,8.86,72.5
81.6,4.7,100.0,88.0,75.9,59.5,28.9,9.38,73.6
73.5,8.4,58.7,57.4,52.2,50.7,49.6,7.42,55.0
56.9,6.4,62.4,49.8,68.5,53.3,49.8,7.51,52.0
81.9,7.1,65.4,66.2,61.3,58.4,42.4,7.96,59.6
98.7,11.2,62.6,74.5,65.9,53.7,85.0,8.08,75.6
59.6,2.7,56.6,72.6,58.2,32.5,22.3,6.99,47.6
88.4,13.5,28.6,56.0,45.1,56.6,60.9,6.1,56.7
74.1,14.0,63.5,70.6,59.8,72.1,44.5,7.69,66.7
77.3,10.0,75.5,99.5,69.0,76.6,65.6,8.31,66.7
65.4,2.0,62.6,62.5,52.5,61.7,60.3,7.4,57.3
74.0,7.0,99.0,85.2,79.7,69.1,23.0,9.49,67.1
93.6,15.9,70.2,78.4,94.8,66.3,66.3,7.47,81.0
85.0,2.0,89.4,68.8,74.8,73.1,58.3,8.71,67.4
98.8,9.6,73.9,70.8,52.9,71.7,42.9,8.39,69.0
92.1,6.3,82.4,72.5,76.8,53.2,60.1,8.43,64.6
83.3,14.2,74.2,76.4,73.8,56.8,78.9,9.07,73.8
98.9,8.3,90.5,82.7,82.0,75.4,60.5,9.27,84.2
83.3,12.6,70.8,69.5,72.7,61.9,67.3,8.27,65.9
87.9,13.3,77.4,84.2,75.5,68.1,86.3,8.32,73.7
74.4,18.3,75.5,76.2,74.3,81.6,91.8,8.28,78.8
78.8,10.2,65.7,62.1,70.1,65.1,53.0,7.35,66.8
69.6,12.5,76.1,59.5,64.1,76.5,46.9,8.18,53.9
89.9,5.1,100.0,97.8,72.5,49.7,37.6,9.16,86.3
63.9,15.8,65.9,66.4,92.0,63.9,69.8,7.61,71.9
87.4,8.0,76.3,56.5,64.3,68.3,35.8,7.33,68.6
75.7,8.8,88.9,72.2,75.1,50.4,46.5,8.4,69.0
92.1,10.9,87.1,81.8,66.4,64.2,62.4,9.68,66.6
87.0,4.7,70.2,76.8,66.0,46.3,41.2,8.58,67.5
99.8,11.9,34.2,62.9,48.2,49.9,70.0,7.33,55.4
86.8,14.9,77.8,76.0,72.8,86.5,99.2,9.16,80.9
59.1,12.2,36.7,46.7,55.2,63.2,46.9,6.66,48.8
77.2,4.6,92.0,78.3,77.1,54.3,37.4,8.86,71.0
63.9,10.5,72.5,55.5,69.0,63.3,60.9,7.56,58.9
71.8,14.0,85.0,69.3,59.3,75.0,60.6,9.2,75.4
96.1,3.5,56.5,64.9,76.4,52.7,68.3,7.72,57.1
85.7,6.7,46.7,55.3,43.7,50.2,52.7,8.25,64.9
69.6,14.5,73.9,46.2,83.2,67.6,54.2,8.0,78.1
65.8,12.1,69.5,57.3,73.4,75.8,28.2,8.81,72.0
78.4,12.6,62.6,62.4,70.1,70.1,37.0,7.69,71.0
63.4,18.4,71.3,58.6,61.7,56.3,37.9,8.57,64.1
69.9,12.9,100.0,77.0,82.6,82.4,59.6,10.0,84.8
81.7,13.6,82.5,78.9,72.4,78.8,43.6,8.23,74.1
91.9,21.8,85.7,68.5,88.2,86.3,97.0,8.74,77.7
85.3,10.1,82.7,59.0,72.8,77.7,57.0,8.28,78.6
50.5,7.8,92.2,64.9,49.1,62.8,33.6,8.2,66.7
81.7,12.7,67.1,73.2,78.3,63.8,48.7,8.3,69.2
78.9,12.8,39.2,66.0,52.7,49.9,66.5,6.62,50.7
83.0,8.9,67.2,73.8,61.2,37.3,42.9,8.04,59.9
97.4,6.9,82.2,64.6,70.8,63.9,43.4,9.12,61.3
53.2,20.2,55.5,46.8,63.1,53.2,75.8,6.3,63.9
70.9,12.3,67.4,64.4,56.8,47.4,58.7,8.46,54.2
85.1,8.1,59.6,64.4,41.5,67.9,49.8,7.55,60.9
59.0,14.7,92.5,76.9,79.4,76.1,61.3,9.11,70.8
95.7,10.6,81.2,69.0,82.5,68.1,62.2,9.08,68.3
82.4,10.0,79.8,73.4,70.8,58.7,60.0,9.2,71.7
88.2,13.2,79.3,78.7,66.4,72.2,52.9,8.58,72.2
71.1,5.8,69.4,71.4,61.5,62.4,69.4,7.02,66.6
87.8,12.4,73.0,62.8,59.6,57.0,54.3,8.36,61.0
90.8,18.7,52.2,57.1,59.0,64.0,94.7,7.53,63.7
80.8,12.9,37.2,21.7,46.4,57.0,57.1,6.18,37.2
80.8,9.5,72.3,61.8,75.6,40.7,63.9,8.29,54.7
81.2,9.0,74.9,64.4,65.7,60.1,62.3,8.18,75.5
67.6,9.4,88.1,62.0,67.8,60.1,62.2,8.17,77.8
76.2,10.0,93.6,79.8,95.2,68.0,41.3,9.43,77.5
76.2,9.5,93.5,77.6,80.4,63.7,65.3,8.87,70.9
82.6,14.7,55.0,36.6,67.1,60.3,87.6,7.28,60.5
90.0,4.1,64.7,69.2,59.3,71.2,44.5,7.78,67.2
65.3,14.4,77.2,56.0,64.4,61.9,55.8,8.81,63.0
76.5,9.5,100.0,86.6,60.9,74.6,44.7,9.4,76.4
95.8,12.5,92.2,71.4,93.6,95.6,61.1,9.33,83.1
69.1,6.5,86.8,72.2,73.3,55.2,65.0,8.54,65.1
68.1,16.3,64.2,56.3,64.0,80.2,47.0,7.91,62.1
80.4,16.0,56.8,62.4,64.1,60.9,52.7,8.13,66.1
88.1,14.8,81.8,77.1,85.9,90.1,87.3,9.03,76.2
78.1,4.9,53.5,54.2,40.1,53.1,52.2,7.65,54.6
93.9,14.3,66.4,54.1,67.5,68.9,95.6,8.39,68.3
88.3,12.6,68.3,53.7,60.5,62.9,56.6,7.51,66.1
88.1,4.6,93.9,76.6,93.0,59.1,49.5,8.89,82.1
84.6,10.9,64.7,65.1,74.3,59.9,49.1,7.83,65.4
100.0,12.5,33.4,47.3,36.8,59.0,69.3,6.38,59.4
75.5,13.2,77.6,75.4,58.4,65.8,34.7,7.92,59.0
54.0,11.7,59.5,48.8,54.1,48.5,54.3,6.48,51.2
97.3,12.2,70.6,63.2,70.0,63.3,69.9,7.74,71.1
72.5,16.9,68.7,60.4,57.7,75.6,62.3,7.85,76.6
79.3,15.9,65.9,66.3,87.0,76.8,59.2,7.89,62.1
93.7,2.0,81.9,81.1,73.5,51.3,34.1,8.45,67.9
58.8,9.7,47.0,65.2,53.2,37.9,53.4,6.86,59.2
63.0,10.3,62.2,49.6,52.1,56.8,31.7,7.36,50.8
58.8,4.0,80.3,64.0,67.5,67.9,40.3,8.81,60.0
68.5,11.4,60.8,61.7,56.6,66.2,78.3,7.48,63.1
